fraud_bool,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,payment_type,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,source,session_length_in_minutes,device_os,keep_alive_session,device_distinct_emails_8w,device_fraud_count,month
0,0.9,0.43213323,53,6,20,0.01883283,-0.86102974,AB,118,2585.9958953608284,2139.7036,3086.6223,7,11,CA,106,0,BC,0,1,26,0,200.0,0,INTERNET,3.2899697,windows,1,1,0,7
0,0.9,0.12830594,32,6,20,0.010185643,-0.40478876,AD,2172,6609.488701715269,6714.93,5487.3696,21,15,CA,168,0,BC,0,1,6,0,1000.0,0,INTERNET,4.5570683,linux,1,1,0,1
0,0.8,0.89978755,-1,36,30,0.027983304,-1.2349906,AC,864,2427.162310769645,3012.8076,4135.1196,0,13,CA,129,0,BC,0,1,-1,0,200.0,0,INTERNET,0.6185718,other,0,1,0,5
0,0.8,0.19713178,-1,52,30,0.012231416,24.71211,AA,938,3321.32694076533,3840.5974,4373.8096,491,14,CA,88,0,BE,1,1,20,1,200.0,0,INTERNET,15.686119,other,1,1,0,5
0,0.3,0.317533,-1,104,40,0.00038882735,-1.0640546,AB,758,9792.76771936259,5732.1445,5126.328,2,1,CA,220,0,BA,1,0,6,1,1000.0,0,INTERNET,15.926452,windows,0,1,0,2
0,0.6,0.10937504,31,18,30,0.023396134,-0.61546814,AC,1382,10061.800834325142,6058.7793,5639.627,1,8,CA,266,0,BE,0,1,-1,0,200.0,0,INTERNET,4.420943,linux,1,1,0,1
0,0.1,0.27095908,-1,70,30,0.009316371,-0.7777266,AB,1383,6707.496986253047,4529.286,5302.28,40,9,CA,262,1,BC,1,1,30,1,1500.0,0,INTERNET,4.275742,other,0,1,0,3
0,0.8,0.07831102,-1,41,50,0.016772041,-0.8430319,AB,5159,6013.247767886095,3707.137,5318.5537,33,9,CF,61,1,BC,1,1,31,0,200.0,0,INTERNET,55.668682,linux,0,1,0,1
0,0.5,0.72887355,-1,253,20,0.015055224,102.32328,AA,1287,4724.050433854421,5056.286,3861.6816,3,8,CA,278,0,BA,0,1,21,0,1500.0,0,INTERNET,5.980034,other,1,1,0,6
0,0.4,0.7173195,-1,71,10,0.021423377,-0.69397444,AB,1236,5130.991457135306,8336.777,5059.853,14,10,CA,114,0,BE,0,1,28,0,200.0,0,INTERNET,5.4797873,windows,0,1,0,7
0,0.8,0.14279594,-1,48,20,0.014139253,-1.7939986,AB,2998,1709.656712142218,3648.4492,4228.5347,10,16,CA,163,0,BC,0,1,1,0,500.0,0,INTERNET,4.665784,linux,1,1,0,4
0,0.3,0.63195294,10,23,20,0.03481519,-0.7478105,AC,453,6062.66883462324,4411.655,5101.6597,0,6,CA,185,1,BB,0,1,-1,1,1500.0,0,INTERNET,2.0222552,macintosh,0,1,0,2
0,0.9,0.88787967,-1,34,30,0.0045218724,-0.9540215,AC,648,1832.826836103886,3410.595,4363.6475,0,9,CA,215,0,BC,1,1,-1,1,1500.0,0,INTERNET,1.2699052,other,1,1,0,4
0,0.9,0.2568836,28,48,30,0.00921921,48.985184,AA,895,3307.917600164777,4271.2886,4360.187,5,10,CB,124,1,BB,1,1,5,0,200.0,0,INTERNET,4.5473375,other,0,1,0,5
0,0.1,0.6101946,-1,194,30,0.020385196,-0.456288,AB,1410,6684.875680323693,4783.9824,5609.0327,13,12,CA,202,1,BE,0,1,5,0,1000.0,0,INTERNET,2.3297048,linux,1,1,0,2
0,0.9,0.06843552,-1,202,60,0.011546207,-1.2603365,AC,1777,4155.444761762135,3293.586,4387.6187,1,1,CC,102,0,BB,1,0,-1,0,200.0,0,INTERNET,1.0817428,linux,1,1,0,4
0,0.9,0.76549184,-1,17,20,0.042147648,-1.0268697,AB,1762,13280.623011053724,5161.0015,4403.83,16,14,CA,94,1,BC,0,1,1,0,200.0,0,INTERNET,11.989718,other,1,1,0,5
1,0.6,0.8802655,-1,52,30,3.0680966,-0.8310431,AC,1235,8958.237409163505,5096.731,3853.2224,0,5,CC,200,0,BC,0,0,-1,0,200.0,0,INTERNET,7.7787685,macintosh,0,1,0,4
0,0.6,0.7650628,-1,68,50,0.03126017,20.727911,AA,3026,6959.981949320551,3824.3862,6825.3213,45,4,CF,181,1,BB,0,1,15,0,1500.0,0,INTERNET,16.754543,linux,0,1,0,0
0,0.7,0.46703687,-1,142,30,0.005435489,-0.6826593,AC,3026,4325.620905864424,3252.2178,4200.6953,0,6,CA,77,1,BE,1,1,-1,0,200.0,0,INTERNET,0.85831535,other,0,1,0,5
1,0.9,0.17995906,-1,32,30,0.0021368936,-0.8117232,AB,2377,8161.9308670004175,5286.47,4423.913,12,11,CA,96,1,BC,0,1,10,1,200.0,0,INTERNET,1.8681451,linux,0,1,0,4
0,0.9,0.7882307,33,15,20,0.016671246,-0.8915696,AA,1510,2165.8691601158625,4843.971,4360.0596,13,13,CA,109,0,BC,1,1,11,0,200.0,0,INTERNET,40.673546,windows,1,1,0,4
0,0.9,0.09005339,33,4,30,0.025266657,-1.0382699,AB,1014,12109.712001334268,5341.3745,4816.1216,1046,9,CA,31,1,BB,1,1,6,0,200.0,0,INTERNET,28.045897,windows,1,1,0,3
0,0.1,0.6850792,-1,29,10,0.0032886153,-0.7331463,AC,367,3336.741501502974,5935.943,5128.145,1,7,CB,100,0,BC,1,0,-1,0,200.0,0,INTERNET,9.9426,other,1,1,0,7
0,0.8,0.26868176,-1,72,30,0.0012718302,-1.3441311,AB,979,9143.06540342303,5265.1333,4872.832,1,5,CA,195,0,BA,1,1,25,0,1500.0,0,INTERNET,6.7569823,windows,1,1,0,3
1,0.7,0.92757595,-1,40,30,0.015304455,-1.4970965,AD,840,2752.9475847127324,3857.2078,5122.295,13,16,CA,345,1,BA,0,1,15,0,1500.0,0,INTERNET,7.9015255,windows,0,1,0,5
0,0.5,0.87219507,-1,70,30,0.006366578,-0.42288366,AB,4773,5442.6438297158975,5343.273,5421.873,15,22,CA,126,1,BC,0,1,1,0,200.0,0,INTERNET,4.8576446,other,1,1,0,2
0,0.9,0.13271096,-1,165,50,0.014631114,-0.5603359,AB,913,9484.356533623932,5502.63,5611.4565,566,5,CB,205,1,BA,1,0,15,0,1500.0,0,INTERNET,3.5274217,windows,0,1,0,2
0,0.8,0.99507236,-1,267,30,0.018926824,49.96773,AA,1796,1765.1327196326674,2827.9314,5087.015,2,13,CA,133,0,BG,0,1,5,1,200.0,0,INTERNET,2.3708878,windows,0,1,0,3
0,0.6,0.94207764,-1,44,60,0.0038100993,-0.65478516,AC,810,4845.482947310326,3274.068,4242.4443,2,7,CB,189,1,BB,1,0,28,0,1500.0,0,INTERNET,4.279262,windows,1,1,0,5
